timestamp, x, y, width, 
12.640000, 2676, 404, 929, 
12.680000, 2002, 263, 939, 
12.720000, 2628, 378, 829, 
12.760000, 2505, 352, 829, 
12.800000, 2907, 435, 829, 
12.840000, 2780, 407, 829, 
12.880000, 2149, 276, 829, 
12.920000, 2213, 293, 829, 
12.960000, 2532, 359, 829, 
13.000000, 2087, 267, 829, 
13.040000, 2105, 271, 829, 
13.080000, 2361, 324, 829, 
13.120000, 2240, 321, 913, 
13.160000, 2937, 467, 910, 
13.200000, 2910, 462, 908, 
13.240000, 2578, 393, 906, 
13.280000, 2824, 444, 903, 
13.320000, 2806, 446, 891, 
13.360000, 2435, 369, 889, 
13.400000, 2247, 329, 887, 
13.440000, 2316, 344, 886, 
13.480000, 2618, 407, 883, 
13.520000, 2569, 400, 864, 
13.560000, 2166, 316, 863, 
13.600000, 2040, 290, 861, 
13.640000, 1949, 271, 859, 
13.680000, 1988, 279, 857, 
13.720000, 2621, 411, 843, 
13.760000, 2292, 343, 843, 
13.800000, 2206, 325, 843, 
13.840000, 2255, 335, 843, 
13.880000, 1977, 277, 843, 
13.920000, 2366, 352, 896, 
13.960000, 2948, 474, 896, 
14.000000, 2540, 390, 896, 
14.040000, 2165, 313, 896, 
14.080000, 2610, 408, 896, 
14.120000, 2735, 373, 829, 
14.160000, 2349, 308, 842, 
14.200000, 1963, 228, 829, 
14.240000, 2797, 402, 829, 
14.280000, 2500, 341, 829, 
14.320000, 2380, 312, 829, 
14.360000, 2023, 237, 829, 
14.400000, 2426, 320, 829, 
14.440000, 2274, 288, 829, 
14.480000, 2740, 383, 829, 
14.520000, 2148, 276, 994, 
14.560000, 1975, 238, 994, 
14.600000, 2069, 256, 994, 
14.640000, 2534, 353, 994, 
14.680000, 2429, 329, 994, 
14.720000, 2830, 408, 997, 
14.760000, 2085, 253, 997, 
14.800000, 2729, 385, 997, 
14.840000, 1852, 202, 997, 
14.880000, 2169, 267, 997, 
14.920000, 1716, 167, 987, 
14.960000, 2612, 353, 987, 
15.000000, 2602, 353, 987, 
15.040000, 2048, 238, 987, 
15.080000, 1842, 197, 987, 
15.120000, 2715, 377, 985, 
15.160000, 2548, 343, 985, 
15.200000, 1774, 183, 985, 
15.240000, 2235, 279, 985, 
15.280000, 2854, 410, 985, 
15.320000, 2557, 345, 962, 
15.360000, 1984, 226, 962, 
15.400000, 2287, 289, 962, 
15.440000, 2738, 383, 962, 
15.480000, 1850, 198, 962, 
15.520000, 1862, 199, 978, 
15.560000, 2189, 267, 978, 
15.600000, 2095, 248, 978, 
15.640000, 2505, 333, 978, 
15.680000, 2680, 370, 978, 
15.720000, 1913, 204, 964, 
15.760000, 1821, 185, 964, 
15.800000, 1823, 185, 964, 
15.840000, 2289, 282, 964, 
15.880000, 2851, 362, 1049, 
15.920000, 2683, 379, 1184, 
15.960000, 2469, 278, 1035, 
16.000000, 2097, 200, 1035, 
16.040000, 2639, 313, 1035, 
16.080000, 2626, 310, 1035, 
16.120000, 2574, 296, 1025, 
16.160000, 2649, 311, 1025, 
16.200000, 2380, 255, 1025, 
16.240000, 2314, 242, 1025, 
16.280000, 2987, 382, 1025, 
16.320000, 2519, 280, 1018, 
16.360000, 2165, 206, 1018, 
16.400000, 2672, 312, 1018, 
16.440000, 2575, 292, 1018, 
16.480000, 2683, 314, 1018, 
16.520000, 2658, 309, 1013, 
16.560000, 2241, 222, 1013, 
16.600000, 2927, 365, 1013, 
16.640000, 2052, 182, 1013, 
16.680000, 2085, 189, 1013, 
16.720000, 3042, 417, 1004, 
16.760000, 2173, 202, 1004, 
16.800000, 2532, 277, 1004, 
16.840000, 2237, 250, 1004, 
16.880000, 2930, 360, 1004, 
16.920000, 2315, 263, 999, 
16.960000, 2391, 279, 999, 
17.000000, 2991, 404, 999, 
17.040000, 2376, 276, 999, 
17.080000, 2846, 391, 855, 
17.120000, 2739, 354, 998, 
17.160000, 2021, 204, 998, 
17.200000, 2226, 251, 1095, 
17.240000, 2826, 374, 1095, 
17.280000, 2651, 338, 1095, 
17.320000, 2909, 379, 1064, 
17.360000, 2300, 252, 1064, 
17.400000, 2200, 232, 1064, 
17.440000, 2174, 226, 1064, 
17.480000, 2535, 299, 868, 
17.520000, 1968, 176, 842, 
17.560000, 2619, 311, 842, 
17.600000, 2743, 337, 842, 
17.640000, 2670, 322, 842, 
17.680000, 2072, 198, 842, 
17.720000, 2320, 231, 829, 
17.760000, 2221, 210, 829, 
17.800000, 2357, 239, 829, 
17.840000, 2124, 190, 829, 
17.880000, 2302, 227, 829, 
17.920000, 2309, 327, 1139, 
17.960000, 1874, 237, 1139, 
18.000000, 2335, 333, 1139, 
18.040000, 1712, 203, 1139, 
18.080000, 2134, 291, 1139, 
18.120000, 2130, 294, 1149, 
18.160000, 2041, 276, 1149, 
18.200000, 2547, 374, 1133, 
18.240000, 1998, 260, 1133, 
18.280000, 2446, 353, 1133, 
18.320000, 2330, 328, 1124, 
18.360000, 2753, 416, 1124, 
18.400000, 2484, 360, 1124, 
18.440000, 2626, 390, 1124, 
18.480000, 2497, 363, 1124, 
18.520000, 2047, 268, 1116, 
18.560000, 2432, 349, 1116, 
18.600000, 1694, 195, 1116, 
18.640000, 2301, 321, 1116, 
18.680000, 2660, 396, 1116, 
18.720000, 2400, 338, 1105, 
18.760000, 2428, 344, 1105, 
18.800000, 2285, 314, 1105, 
18.840000, 2149, 286, 1105, 
18.880000, 2105, 276, 1105, 
18.920000, 2504, 362, 1103, 
18.960000, 2599, 382, 1103, 
19.000000, 2450, 356, 1115, 
19.040000, 1846, 230, 1115, 
19.080000, 1707, 201, 1115, 
19.120000, 1735, 209, 1115, 
19.160000, 2451, 358, 1115, 
19.200000, 1878, 239, 1115, 
19.240000, 2375, 342, 1115, 
19.280000, 2430, 382, 1189, 
19.320000, 2304, 332, 1122, 
19.360000, 1607, 220, 1211, 
19.400000, 1612, 221, 1211, 
19.440000, 1957, 293, 1211, 
19.480000, 1907, 282, 1211, 
19.520000, 2342, 383, 1230, 
19.560000, 2575, 431, 1230, 
19.600000, 1796, 269, 1230, 
19.640000, 1981, 307, 1230, 
19.680000, 2356, 386, 1230, 
19.720000, 2580, 442, 1255, 
19.760000, 2320, 388, 1255, 
19.800000, 1928, 307, 1255, 
19.840000, 2587, 444, 1255, 
19.880000, 1768, 285, 1284, 
19.920000, 1717, 284, 1306, 
19.960000, 2115, 367, 1306, 
20.000000, 733, 243, 1306, 
20.040000, 733, 243, 1306, 
20.080000, 733, 243, 1306, 
20.120000, 3118, 247, 1339, 
20.160000, 3118, 247, 1204, 
20.200000, 2257, 477, 1204, 
20.240000, 2445, 516, 1204, 
20.280000, 2074, 443, 1204, 
20.320000, 2277, 502, 1214, 
20.360000, 2500, 548, 1214, 
20.400000, 1694, 380, 1214, 
20.440000, 2493, 559, 1214, 
20.480000, 1975, 470, 1044, 
20.520000, 2395, 554, 1061, 
20.560000, 1847, 450, 1033, 
20.600000, 1914, 464, 1033, 
20.640000, 2359, 557, 1033, 
20.680000, 2199, 529, 1008, 
20.720000, 2179, 537, 1013, 
20.760000, 1926, 484, 1013, 
20.800000, 1999, 499, 1013, 
20.840000, 2388, 606, 989, 
20.880000, 2320, 604, 1063, 
20.920000, 1581, 459, 1054, 
20.960000, 2215, 591, 1054, 
21.000000, 1804, 529, 946, 
21.040000, 1778, 553, 988, 
21.080000, 1917, 570, 1038, 
21.120000, 1900, 573, 1036, 
21.160000, 1922, 577, 1036, 
21.200000, 1309, 450, 1036, 
21.240000, 1703, 532, 1036, 
21.280000, 1549, 499, 1036, 
21.320000, 1251, 431, 1022, 
21.360000, 1975, 581, 1022, 
21.400000, 2055, 598, 1022, 
21.440000, 2064, 600, 1022, 
21.480000, 1824, 550, 1022, 
21.520000, 1501, 491, 1015, 
21.560000, 1731, 539, 1015, 
21.600000, 1713, 536, 1015, 
21.640000, 1769, 547, 1015, 
21.680000, 1646, 522, 1015, 
21.720000, 1232, 409, 1082, 
21.760000, 1729, 512, 1082, 
21.800000, 1099, 381, 1082, 
21.840000, 1869, 542, 1082, 
21.880000, 1658, 498, 1082, 
21.920000, 1991, 570, 1092, 
21.960000, 1625, 494, 1092, 
22.000000, 1161, 398, 1092, 
22.040000, 1596, 488, 1092, 
22.080000, 1619, 493, 1092, 
22.120000, 1061, 383, 1094, 
22.160000, 1944, 567, 1094, 
22.200000, 1449, 464, 1094, 
22.240000, 1740, 525, 1094, 
22.280000, 1526, 480, 1094, 
22.320000, 1151, 404, 1102, 
22.360000, 1461, 469, 1102, 
22.400000, 1270, 429, 1102, 
22.440000, 1454, 467, 1102, 
22.480000, 1006, 374, 1102, 
22.520000, 1796, 540, 1109, 
22.560000, 1630, 505, 1109, 
22.600000, 1906, 563, 1109, 
22.640000, 1641, 507, 1109, 
22.680000, 1484, 475, 1109, 
22.720000, 1505, 476, 1126, 
22.760000, 2102, 600, 1126, 
22.800000, 1023, 376, 1126, 
22.840000, 1041, 379, 1126, 
22.880000, 1694, 515, 1126, 
22.920000, 1630, 500, 1142, 
22.960000, 1198, 410, 1142, 
23.000000, 1195, 409, 1142, 
23.040000, 1668, 508, 1142, 
23.080000, 2005, 578, 1142, 
23.120000, 1782, 530, 1156, 
23.160000, 1465, 464, 1156, 
23.200000, 1437, 458, 1156, 
23.240000, 1911, 557, 1156, 
23.280000, 2029, 581, 1156, 
23.320000, 2017, 577, 1169, 
23.360000, 1959, 565, 1169, 
23.400000, 1807, 534, 1169, 
23.440000, 1308, 430, 1169, 
23.480000, 1542, 478, 1169, 
23.520000, 1308, 454, 988, 
23.560000, 1606, 516, 988, 
23.600000, 2150, 629, 988, 
23.640000, 1593, 513, 988, 
23.680000, 2074, 614, 988, 
23.720000, 2164, 636, 976, 
23.760000, 1261, 448, 976, 
23.800000, 1577, 513, 976, 
23.840000, 1948, 591, 976, 
23.880000, 1932, 587, 976, 
23.920000, 2084, 625, 962, 
23.960000, 1338, 469, 962, 
24.000000, 1919, 590, 962, 
24.040000, 2151, 639, 962, 
24.080000, 1424, 487, 962, 
24.120000, 1492, 506, 956, 
24.160000, 1675, 544, 956, 
24.200000, 1667, 543, 956, 
24.240000, 1745, 559, 956, 
24.280000, 1249, 455, 956, 
24.320000, 1565, 523, 958, 
24.360000, 1429, 495, 958, 
24.400000, 1768, 565, 958, 
24.440000, 2070, 628, 958, 
24.480000, 1257, 459, 958, 
24.520000, 1705, 553, 962, 
24.560000, 2003, 615, 962, 
24.600000, 1133, 434, 962, 
24.640000, 1437, 497, 962, 
24.680000, 1236, 455, 962, 
24.720000, 1742, 565, 959, 
24.760000, 1680, 552, 959, 
24.800000, 1777, 572, 959, 
24.840000, 1556, 479, 1217, 
24.880000, 937, 350, 1217, 
24.920000, 1494, 470, 1222, 
24.960000, 1497, 471, 1222, 
25.000000, 1127, 394, 1222, 
25.040000, 869, 340, 1222, 
25.080000, 1244, 418, 1222, 
25.120000, 838, 334, 1236, 
25.160000, 1892, 553, 1236, 
25.200000, 1504, 466, 1267, 
25.240000, 1699, 506, 1267, 
25.280000, 1834, 534, 1267, 
25.320000, 1873, 549, 1252, 
25.360000, 997, 367, 1252, 
25.400000, 1314, 433, 1252, 
25.440000, 1359, 443, 1252, 
25.480000, 1714, 516, 1252, 
25.520000, 1520, 481, 1245, 
25.560000, 2206, 533, 1339, 
25.600000, 1272, 339, 1339, 
25.640000, 1431, 372, 1339, 
25.680000, 2110, 513, 1339, 
25.720000, 1503, 379, 1374, 
25.760000, 2098, 495, 1416, 
25.800000, 1927, 462, 1406, 
25.840000, 1620, 400, 1394, 
25.880000, 1222, 344, 1420, 
25.920000, 1856, 539, 1308, 
25.960000, 906, 341, 1308, 
26.000000, 1763, 519, 1308, 
26.040000, 1483, 461, 1308, 
26.080000, 1593, 484, 1308, 
26.120000, 1835, 517, 1359, 
26.160000, 982, 340, 1359, 
26.200000, 1095, 363, 1359, 
26.240000, 962, 336, 1359, 
26.280000, 1003, 344, 1359, 
26.320000, 1763, 468, 1282, 
26.360000, 1245, 360, 1282, 
26.400000, 1187, 348, 1282, 
26.440000, 1332, 379, 1224, 
26.480000, 2160, 552, 1224, 
26.520000, 1123, 315, 1302, 
26.560000, 1293, 350, 1302, 
26.600000, 1246, 340, 1302, 
26.640000, 1568, 422, 1303, 
26.680000, 1783, 467, 1303, 
26.720000, 2072, 532, 1298, 
26.760000, 1134, 337, 1298, 
26.800000, 1725, 460, 1298, 
26.840000, 1099, 329, 1298, 
26.880000, 1471, 407, 1298, 
26.920000, 1577, 435, 1293, 
26.960000, 1508, 420, 1293, 
27.000000, 1343, 386, 1293, 
27.040000, 1040, 337, 1420, 
27.080000, 1810, 497, 1420, 
27.120000, 1652, 459, 1265, 
27.160000, 982, 324, 1420, 
27.200000, 802, 287, 1420, 
27.240000, 1260, 382, 1420, 
27.280000, 1700, 474, 1420, 
27.320000, 1521, 470, 1381, 
27.360000, 1064, 375, 1381, 
27.400000, 1803, 529, 1381, 
27.440000, 695, 298, 1381, 
27.480000, 1257, 415, 1381, 
27.520000, 1191, 390, 1200, 
27.560000, 1720, 498, 1204, 
27.600000, 1762, 506, 1207, 
27.640000, 1333, 416, 1209, 
27.680000, 1980, 551, 1209, 
27.720000, 1719, 486, 1234, 
27.760000, 1011, 368, 1391, 
27.800000, 677, 300, 1392, 
27.840000, 1503, 472, 1392, 
27.880000, 1545, 480, 1392, 
27.920000, 1408, 452, 1398, 
27.960000, 1389, 448, 1398, 
28.000000, 1645, 502, 1398, 
28.040000, 964, 360, 1398, 
28.080000, 1470, 465, 1398, 
28.120000, 931, 359, 1393, 
28.160000, 1520, 482, 1393, 
28.200000, 805, 333, 1393, 
28.240000, 1268, 429, 1393, 
28.280000, 649, 300, 1393, 
28.320000, 694, 308, 1403, 
28.360000, 759, 321, 1403, 
28.400000, 859, 342, 1403, 
28.440000, 734, 316, 1403, 
